,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
61,Clark,687,Germany,Female,27,9,152328,2,0,0,126494,0
62,Jeffrey,555,Spain,Male,33,1,56084,2,0,0,178798,0
63,Pirozzi,684,Spain,Male,56,8,78707,1,1,1,99398,0
64,Jackson,603,Germany,Male,26,4,109166,1,1,1,92840,0
65,Hammond,751,Germany,Female,36,5,169831,2,1,1,27758,0
66,Brownless,581,Germany,Female,34,1,101633,1,1,0,110431,0
67,Chibugo,735,Germany,Male,43,10,97245,2,1,1,196673,0
68,Glauert,661,Germany,Female,35,5,150725,2,0,1,113656,0
69,Pisano,675,France,Female,21,8,98373,1,1,0,18203,0
70,Konovalova,738,Germany,Male,58,2,133745,1,1,0,28373,1
71,McKee,813,France,Male,29,6,0,1,1,0,33953,0
72,Palermo,657,Spain,Female,37,0,163607,1,0,1,44203,0
73,Ballard,604,Germany,Female,25,5,157780,2,1,1,58426,0
74,Wallace,519,France,Male,36,9,0,2,0,1,145562,0
75,Cavenagh,735,France,Female,21,1,178718,2,1,0,22388,0
76,Hu,664,France,Male,55,8,0,2,1,1,139161,0
77,Read,678,France,Female,32,9,0,1,1,1,148210,0
78,Bushell,757,Spain,Male,33,5,77253,1,0,1,194239,0
79,Postle,416,Germany,Female,41,10,122189,2,1,0,98301,0
80,Buley,649,France,Female,34,1,96645,2,0,0,171413,0
81,Leonard,777,France,Female,32,2,0,1,1,0,136458,1
82,Mills,543,France,Female,36,3,0,2,0,0,26019,0
83,Onyeorulu,506,France,Female,34,4,90307,1,1,1,159235,0
84,Beit,493,France,Female,46,4,0,2,1,0,1907,0
85,Ndukaku,652,Spain,Female,75,10,0,2,1,1,114675,0
86,Gant,750,Spain,Male,22,3,121681,1,1,0,128643,1
87,Rowley,729,France,Male,30,9,0,2,1,0,151869,0
88,Sharpe,646,France,Female,46,4,0,3,1,0,93251,1
89,Osborne,635,Germany,Female,37,3,81623,2,1,1,156791,0
90,Heap,647,Spain,Female,44,5,0,3,1,1,174205,1
91,Ritchie,808,France,Male,45,7,97245,2,1,0,147132,0
92,Cole,524,France,Female,36,10,0,2,1,0,109614,0
93,Capon,769,France,Male,29,8,0,2,1,1,172290,0
94,Capon,730,Spain,Male,42,4,0,2,0,1,85982,0
95,Fiorentini,515,Spain,Male,35,10,176273,1,0,1,121277,0
96,Graham,773,Spain,Male,41,9,102827,1,0,1,64595,0
97,Yuille,814,Germany,Male,29,8,97086,2,1,1,197276,0
99,Fanucci,413,France,Male,34,9,0,2,0,0,6534,0
100,Fu,665,France,Female,40,6,0,1,1,1,161848,0
101,Hung,623,France,Female,44,6,0,2,0,0,167162,0
103,Bradley,528,Spain,Male,36,7,0,2,1,0,60536,0
104,Dunbabin,670,Spain,Female,65,1,0,1,1,1,177655,1
105,Mauldon,622,Spain,Male,46,4,107073,2,1,1,30984,1
106,Stiger,582,Germany,Male,37,1,88938,1,1,1,10054,0
107,Parsons,785,Germany,Female,36,2,99806,1,0,1,36976,0
108,Walkom,605,Spain,Male,33,5,150092,1,0,0,71862,0
109,T'ang,479,Germany,Male,35,9,92833,1,1,0,99449,1
110,Eremenko,685,Germany,Male,30,3,90536,1,0,1,63082,0
111,Rowntree,538,Germany,Male,39,7,108055,2,1,0,27231,0
112,Thorpe,562,France,Male,42,2,100238,1,0,0,86797,0
113,Chiemela,675,Spain,Male,36,9,106190,1,0,1,22994,0
115,Ko,628,Germany,Female,30,9,132351,2,1,1,74169,0
116,Welch,668,Germany,Female,37,6,167864,1,1,0,115638,0
117,Duncan,506,France,Female,41,1,0,2,1,0,31766,0
118,Chidozie,524,Germany,Female,31,8,107818,1,1,0,199725,1
119,Wu,699,Germany,Female,34,4,185173,2,1,0,120834,0
120,Culbreth,828,France,Male,34,8,129433,2,0,0,38131,0
121,Kennedy,674,Spain,Male,39,6,120193,1,0,0,100130,0
122,Cameron,656,France,Female,39,6,0,2,1,0,141069,0
123,Calabresi,684,Germany,Female,48,10,126384,1,1,1,198129,0
124,Zetticci,625,France,Female,28,3,0,1,0,0,183646,0
125,Fuller,432,France,Male,42,5,152603,1,1,0,110265,1
126,MacDonald,549,France,Female,52,1,0,1,0,1,8636,1
127,Piccio,625,France,Male,56,0,148507,1,1,0,46824,1
128,Kennedy,828,France,Female,41,7,0,2,1,0,171378,0
129,Fernie,770,France,Male,24,9,101827,1,1,0,167256,0
130,He,758,France,Female,34,3,0,2,1,1,124226,0
131,Kaodilinakachukwu,795,Germany,Female,33,9,130862,1,1,1,114935,0
132,Cocci,687,France,Male,38,9,122570,1,1,1,35608,0
133,Alekseeva,686,France,Male,25,1,0,2,0,1,16459,0
134,Chinweike,789,Germany,Male,39,7,124828,2,1,1,124411,0
135,Arthur,589,Germany,Female,50,5,144895,2,1,1,34941,0
136,Li,461,Germany,Female,34,5,63663,1,0,1,167784,0
137,Ma,637,France,Male,40,2,133463,1,0,1,93165,0
138,Chia,584,Spain,Female,48,2,213146,1,1,0,75161,1
139,Vasin,579,Spain,Female,35,1,129490,2,0,1,8590,1
140,Groves,756,Germany,Male,44,10,137452,1,1,0,189543,0
141,Tien,663,France,Male,34,7,0,2,1,1,180427,0
142,Forwood,682,France,Female,43,5,125851,1,1,1,193318,0
143,Greeves,793,Spain,Male,52,2,0,1,1,0,159123,1
144,Taylor,691,France,Female,37,5,40915,1,1,0,126213,1
145,Madukwe,485,Spain,Female,37,5,113157,1,1,1,54141,0
146,Bennelong,635,Spain,Female,29,8,138296,2,1,0,141075,0
147,Olisanugo,650,France,Male,37,5,106967,1,0,0,24495,0
148,Chukwufumnanya,735,France,Male,44,9,120681,1,1,0,74836,0
149,Harris,416,France,Male,32,0,0,2,0,1,878,0
150,Morgan,754,Spain,Female,32,7,0,2,1,0,89520,0
151,Alexeeva,535,France,Female,48,9,0,1,1,0,149892,1
152,Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800,0
153,Humphries,539,France,Male,37,2,127609,1,1,0,98646,0
154,Milne,614,France,Female,43,6,0,2,1,1,109041,0
155,Chou,706,Spain,Male,57,7,0,1,1,0,17941,1
156,Li,758,France,Female,33,7,0,2,0,0,82996,0
157,Clayton,586,Spain,Female,28,2,0,2,1,1,92067,0
158,Maclean,646,France,Female,73,6,97259,1,0,1,104719,0
159,Chigolum,631,Germany,Female,33,4,123246,1,0,0,112687,0
160,Wilkinson,717,Spain,Female,22,6,101060,1,0,1,84699,0
161,Wei,684,France,Male,30,2,0,1,1,0,83473,0
162,Treacy,800,France,Female,49,7,108007,1,0,0,47125,0
163,Hu,721,Spain,Female,36,2,0,2,1,1,106977,0
164,Taverner,683,Spain,Male,29,0,133702,1,1,0,55582,1
165,Sherman,660,Germany,Male,31,5,125189,2,1,1,139874,0
166,Taubman,704,Germany,Female,24,7,113034,1,1,0,162503,1
167,Robinson,615,Spain,Female,41,9,109013,1,1,0,196499,0
168,Pinto,667,Spain,Female,39,2,0,2,1,0,40721,1
169,Wood,682,Germany,Male,24,9,57929,2,0,0,53134,0
170,Hawkins,484,France,Female,29,4,130114,1,1,0,164017,0
171,Sun,628,Germany,Male,27,5,95826,2,1,0,155996,0
172,Yost,480,Germany,Male,44,10,129608,1,1,0,5472,1
173,Ting,578,France,Male,30,4,169462,1,1,0,112187,0
174,Rowe,512,France,Male,40,5,0,2,1,1,146457,0
175,Fu,484,Spain,Female,35,7,133868,1,1,1,27286,0
176,Ho,510,France,Female,30,0,0,2,1,1,130553,0
177,Okechukwu,606,Germany,Male,36,5,190479,2,0,0,179351,0
178,Campbell,597,Spain,Female,40,8,101993,1,0,1,94774,0
179,Ashbolt,754,Germany,Female,55,3,161608,1,1,0,8080,1
180,Rozier,850,Spain,Female,45,2,122311,1,1,1,19482,0
181,Hsia,510,France,Male,65,2,0,2,1,1,48071,0
182,Ogbonnaya,778,Germany,Female,45,1,162150,2,1,0,174531,0
183,T'ang,636,France,Male,42,2,0,2,1,1,55470,0
184,Cocci,804,France,Female,50,4,0,1,1,1,8546,1
185,Chang,514,France,Male,32,8,0,2,1,0,95857,0
186,T'ao,730,France,Female,39,1,99010,1,1,0,194945,0
188,Marshall,616,Spain,Male,30,5,0,2,0,1,196108,0
189,Tsai,687,Germany,Female,34,7,111388,2,1,0,148564,0
190,Onwumelu,715,France,Female,41,8,56214,2,0,0,92982,1
191,Graham,512,France,Female,36,3,84327,2,1,0,17675,0
192,Golovanov,479,France,Male,40,1,0,2,0,0,114996,0
193,Potts,601,France,Male,32,8,93012,1,1,0,86957,0
194,Crawford,580,Spain,Male,29,9,61710,2,1,0,128077,0
195,Aleshire,807,France,Male,35,3,174790,1,1,1,600,0
196,Moran,616,Spain,Female,32,6,0,2,1,1,43001,0
197,Samsonova,721,Germany,Male,37,3,107720,1,1,1,158591,0
198,Jenkins,501,France,Male,57,10,0,2,1,1,47847,0
199,Volkov,521,France,Male,35,6,96423,1,1,0,10488,0
200,Chiemezie,850,Spain,Male,30,2,141040,1,1,1,5978,0
201,Jude,759,France,Male,42,4,105420,1,0,1,121409,0
203,Onuora,711,France,Female,38,2,129022,2,1,1,14374,1
204,Ginikanwa,512,Spain,Male,33,3,176666,1,1,0,94670,0
205,Ku,550,France,Male,37,3,0,1,1,1,179670,0
206,McDonald,608,Spain,Female,37,3,89763,1,0,0,199304,1
207,Collins,618,France,Male,34,5,134954,1,1,1,151954,0
208,Hackett,643,France,Male,45,5,0,1,1,0,142513,1
209,Dike,671,France,Male,45,2,106376,1,0,1,158264,0
210,Trevisano,689,Germany,Male,33,2,161814,2,1,0,169381,0
211,Tan,603,France,Male,31,8,0,2,1,1,169915,0
212,Glassman,620,France,Female,41,9,0,2,0,0,88852,0
213,Miller,676,France,Female,34,1,63095,1,1,1,40645,0
214,Kornilova,572,Germany,Male,37,4,118287,2,0,0,60427,0
215,Watson,668,Germany,Male,47,7,106854,1,0,1,157959,1
216,Marchesi,695,France,Male,46,7,49512,1,1,0,133007,0
217,Millar,730,Spain,Male,33,9,0,2,0,0,176576,0
218,Shih,807,France,Male,43,1,105799,2,1,0,34888,1
219,Fuller,592,France,Male,54,8,0,1,1,1,28737,1
220,Hay,726,France,Female,31,9,114722,2,1,1,98178,0
221,Yang,514,Spain,Male,30,7,0,1,0,1,125010,0
222,McIntyre,567,France,Male,37,2,0,2,1,1,167984,0
223,Stevenson,850,France,Male,33,10,0,1,1,0,4861,1
224,Poole,671,Germany,Male,45,6,99564,1,1,1,108872,1
225,Bagley,670,France,Male,37,4,170557,2,1,0,198252,0
226,Ch'ien,694,France,Female,30,9,0,2,1,1,26960,0
227,Cattaneo,547,Germany,Female,39,6,74596,3,1,1,85746,1
228,O'Sullivan,751,Germany,Male,50,2,96888,1,1,0,77206,1
229,Lucas,594,Germany,Female,29,3,130830,1,1,0,61048,0
230,Ringrose,673,France,Male,72,1,0,2,0,1,111981,0
231,Freeman,610,France,Male,40,0,0,2,1,0,62232,0
232,Sergeyev,512,France,Female,37,1,0,2,0,1,156105,0
233,Fiore,767,Germany,Male,20,3,119714,2,0,1,150135,0
235,Dumetochukwu,763,Germany,Male,42,6,100160,1,1,0,33462,1
236,Pacheco,712,France,Female,29,2,0,1,1,1,144375,0
237,Synnot,539,Germany,Female,43,3,116220,3,1,0,55803,1
238,Johnston,668,France,Female,46,2,0,3,1,0,89048,1
239,Stevens,703,France,Male,28,2,81173,2,0,1,162812,0
240,Grant,662,Spain,Male,38,4,0,2,1,0,136259,0
241,Tsao,725,France,Female,37,5,116803,1,1,0,124052,0
242,Barnes,703,France,Male,37,8,105961,2,0,1,74158,0
243,McIntosh,659,Germany,Male,67,6,117411,1,1,1,45071,1
244,Madison,523,Spain,Male,34,7,97245,2,1,0,62030,0
245,Ifesinachi,635,France,Female,40,10,123497,1,1,0,131953,1
246,Glazkov,772,Germany,Male,26,7,152400,2,1,0,79414,0
247,Dimauro,545,France,Female,26,1,0,2,1,1,199638,0
248,Wieck,634,Germany,Male,24,8,103097,1,1,1,157577,0
249,Liao,739,Germany,Male,54,8,126418,1,1,0,134420,1
250,Hughes,771,Germany,Female,36,5,77846,1,0,0,99805,0
251,Morrison,587,Spain,Female,34,1,0,2,1,1,97932,0
253,Ku,544,Germany,Male,37,2,79731,1,1,1,57558,0
254,Cheatham,696,Spain,Male,28,8,0,1,0,0,176713,0
255,Yao,766,Spain,Male,41,0,0,2,0,1,34283,0
256,Kirkland,727,France,Male,34,10,0,2,1,1,198637,0
257,Rose,671,Germany,Female,34,6,37266,2,0,0,156917,0
258,Jess,693,France,Female,30,6,127992,1,1,1,50457,0
259,Welch,850,Germany,Male,38,3,54901,1,1,1,140075,0
260,Ifeajuna,732,Germany,Male,42,9,108748,2,1,1,65323,0
261,Morton,726,Spain,Female,48,6,99906,1,1,0,64323,0
262,Rossi,557,France,Female,32,6,184686,2,1,0,14956,0
263,Reppert,682,France,Female,26,0,110654,1,0,1,111879,0
264,Kang,738,Spain,Male,31,9,79019,1,1,1,18606,0
265,Ch'iu,531,Spain,Female,36,9,99240,1,1,0,123137,0
266,Wallis,498,France,Male,34,2,0,2,1,1,148528,0
267,Clark,651,France,Male,36,7,0,2,1,0,13898,0
268,Fielding,549,Spain,Female,39,7,0,1,0,0,81259,1
269,Zetticci,791,Germany,Female,35,7,52436,1,1,0,161051,0
270,Dulhunty,650,Spain,Male,41,9,0,2,0,1,191599,0
271,Bevington,733,Germany,Male,34,3,100337,3,1,0,48559,1
272,Boyle,811,Germany,Female,34,1,149297,2,1,1,186339,0
273,Newton,707,France,Male,30,8,0,2,1,0,33159,0
274,Bowman,712,Germany,Male,28,4,145605,1,0,1,93883,0
275,Dubinina,706,Spain,Female,37,7,0,2,1,1,110899,0
276,Toscani,756,France,Male,62,3,0,1,1,1,11199,1
277,Chiazagomekpere,777,France,Female,53,10,0,2,1,0,189992,0
278,Allen,646,France,Male,35,6,84026,1,0,1,164255,0
279,K'ung,714,France,Male,46,1,0,1,1,0,152167,1
280,Wilsmore,782,France,Male,39,8,0,2,1,1,33949,0
281,Hargreaves,775,Spain,Male,29,10,0,2,1,1,68143,0
282,Huang,479,Germany,Male,35,4,138718,1,1,1,47251,1
283,Ch'ien,807,France,Male,42,7,118274,1,1,1,25885,0
284,Wallwork,799,France,Female,22,8,174185,2,0,1,192633,0
285,Chu,675,France,Male,40,7,113208,2,1,0,34577,0
286,Kang,602,Spain,Male,29,5,103907,1,1,0,161229,0
287,Davidson,475,France,Female,32,8,119023,1,1,0,100816,0
288,O'Donnell,744,Spain,Female,26,5,166297,1,1,1,181694,0
290,Chidiebele,703,Germany,Male,42,9,63227,1,0,1,137316,0
291,Ahmed,747,Spain,Female,41,5,94521,2,1,0,194926,0
292,Booth,583,France,Male,27,7,0,2,1,0,51285,0
294,Shao,681,France,Male,38,3,0,2,1,1,112491,0
295,Tsao,773,France,Male,25,2,135903,1,1,0,73656,0
296,Tien,714,France,Female,31,4,125169,1,1,1,106636,0
297,Chang,687,Spain,Female,44,7,0,3,1,0,155853,1
298,Johnson,511,France,Male,58,0,149117,1,1,1,162599,0
299,French,627,France,Male,33,5,0,2,1,1,103737,0
300,Efremov,694,France,Female,31,10,0,2,1,0,160990,0
301,Hartley,616,Spain,Female,36,6,132311,1,0,0,15462,0
302,Calabrese,687,France,Male,35,8,0,1,1,0,10334,0
303,Chiu,712,France,Female,33,6,0,2,1,1,190686,0
304,Brennan,553,France,Male,33,4,118082,1,0,0,94440,0
305,Onwuatuegwu,667,France,Male,31,1,119266,1,1,1,28257,0
306,Hewitt,731,France,Male,43,2,0,1,1,1,170034,1
307,Shih,629,Germany,Male,35,7,156847,2,1,0,31824,0
308,Balashov,614,France,Female,50,4,137104,1,1,0,127166,1
309,Doyle,438,Germany,Male,37,8,78398,1,1,0,44937,0
310,Pokrovskii,652,France,Female,80,4,0,2,1,1,188603,0
311,Collins,729,Germany,Male,30,6,63669,1,1,0,145111,0
312,Russo,642,France,Male,38,3,0,2,0,0,171463,0
313,Skinner,806,Germany,Female,59,0,135296,1,1,0,182822,0
314,Robertson,744,Spain,Male,36,2,153804,1,1,1,87213,0
315,Atkinson,474,Spain,Male,37,3,0,2,0,0,57175,0
316,Doyle,559,France,Male,49,2,147069,1,1,0,120540,1
317,Ritchie,706,France,Male,42,9,0,2,1,1,28714,0
318,McEncroe,628,Spain,Female,22,3,0,1,1,0,85426,0
320,Gordon,525,Spain,Male,57,2,145965,1,1,1,64448,0
321,Ts'ai,680,France,Female,30,8,141441,1,1,1,16278,0
322,Lung,749,France,Male,40,1,139290,1,1,0,182855,1
323,Yuan,763,France,Female,31,4,0,2,0,0,50404,0
324,Pardey,734,France,Male,30,3,0,2,1,0,107640,0
325,Tai,716,France,Male,35,4,144428,1,1,0,134132,0
326,Scott,594,France,Male,35,2,0,2,1,0,103480,0
327,Hunter,644,France,Female,46,9,95441,1,1,0,108761,1
328,Mazzanti,671,Germany,Male,35,1,144848,1,1,1,179012,0
329,No information avilable,664,Germany,Male,26,7,116244,2,1,1,95145,0
330,Beach,656,France,Male,50,7,0,2,0,1,72143,0
331,Hsieh,667,Spain,Female,40,1,146502,1,1,0,19162,0
332,Faulkner,663,Germany,Male,44,2,117028,2,0,1,144680,0
333,Knowles,584,Germany,Female,30,8,112013,1,1,0,177772,1
334,Day,626,Spain,Female,37,6,108269,1,1,0,5597,0
335,Hsueh,485,France,Male,29,7,182123,1,1,0,116828,1
336,Tsao,659,Germany,Female,32,3,150923,2,0,1,174652,0
337,Kennedy,649,France,Male,33,2,0,2,1,0,2010,0
338,Nwabugwu,805,Spain,Female,39,5,165272,1,1,0,14109,1
339,Young,716,Germany,Female,39,10,115301,1,1,0,43527,1
340,Kerr,642,Germany,Male,40,6,129502,2,0,1,86099,1
341,Tien,659,France,Male,31,4,118342,1,0,0,161574,0
342,Marrero,545,Spain,Female,47,5,0,2,1,1,38970,0
343,White,543,France,Male,22,8,0,2,0,0,127587,0
344,Pisano,718,France,Female,25,7,0,2,1,0,30380,0
345,Brown,840,France,Female,43,7,0,2,1,0,90908,0
346,Freeman,630,Germany,Female,34,9,106937,2,1,0,138275,0
347,Russell,643,Germany,Male,59,3,170331,1,1,1,32171,0
348,Seleznyov,654,Germany,Female,32,1,114510,1,1,1,126143,0
349,Yusupova,582,France,Male,39,5,0,2,1,1,129892,0
350,Foley,659,Spain,Male,37,3,107594,2,1,1,102416,0
351,Shih,762,Spain,Male,39,2,81273,1,1,1,18719,0
352,Ikedinachukwu,568,Spain,Female,32,7,169399,1,1,0,61936,0
353,Power,670,Spain,Male,25,6,0,2,1,1,78358,0
354,Amos,613,France,Male,45,1,187841,2,1,1,147224,0
355,Reed,539,France,Male,30,0,0,2,1,0,160979,0
356,Simmons,850,Spain,Female,57,8,126776,2,1,1,132298,0
357,Ricci,522,Spain,Male,37,9,126436,1,1,0,174248,1
358,Yen,737,France,Male,41,1,101960,1,1,1,123547,0
359,Campbell,520,France,Male,58,3,0,2,0,1,32790,0
360,West,706,Spain,Male,28,3,0,2,0,1,181543,0
361,Robinson,643,Germany,Female,45,2,150842,1,0,1,2319,1
362,Bianchi,648,France,Female,37,9,102535,1,1,1,189543,0
363,Chen,443,Germany,Female,29,9,99027,2,1,0,10940,0
364,Madukaego,640,France,Male,68,9,0,2,1,1,199493,0
365,Ibrahimova,628,Spain,Female,33,5,0,1,1,1,188193,0
366,Nolan,540,Germany,Female,42,9,87271,2,1,0,172572,0
367,Scott,460,Germany,Female,35,8,102742,2,1,1,189339,0
368,Blair,636,Germany,Male,34,2,40105,2,0,1,53512,0
369,Monaldo,593,France,Female,29,2,152265,1,1,0,34004,0
370,Sutherland,801,Spain,Female,42,4,141947,1,1,1,10598,0
371,Cole,640,Germany,Female,75,1,106307,2,0,1,113428,0
372,Briggs,611,Germany,Male,31,0,107884,2,1,1,183487,0
373,Gregory,802,Germany,Male,31,1,125013,1,1,1,187658,0
374,Bianchi,717,Germany,Male,35,7,58469,2,1,1,172459,0
375,Angelo,769,France,Female,39,8,0,1,0,1,21016,0
376,Gardiner,745,Germany,Male,45,10,117231,3,1,1,122381,1
377,Kerr,572,Spain,Male,35,4,152390,1,1,0,128123,0
378,Ko,629,Spain,Female,30,2,34013,1,1,0,19570,0
379,Distefano,687,Spain,Female,39,2,0,3,0,0,188150,1
380,Farrell,483,France,Female,50,9,0,2,1,1,111020,0
381,Milano,690,France,Male,36,7,101583,2,1,0,123775,0
382,Ting,492,Germany,Female,30,10,77168,2,0,1,146700,0
383,Boyd,709,Germany,Male,28,8,124695,2,1,0,145251,0
384,Onyemaechi,705,Germany,Male,44,3,105934,1,1,0,82463,0
385,Black,560,France,Female,66,9,0,1,1,1,15928,0
386,Oliver,611,France,Female,46,6,0,2,1,0,45886,0
387,Greco,730,Spain,Male,62,2,0,2,1,1,186489,0
388,Whitehead,709,Spain,Female,45,2,0,2,0,1,162922,0
389,Ikemefuna,544,France,Female,21,10,161525,2,1,0,9262,0
390,Morrison,712,Germany,Female,29,7,147199,1,1,1,84932,0
391,Onyeoruru,752,Germany,Male,38,3,183102,1,1,1,71557,0
392,Cunningham,648,Spain,Male,46,9,127209,2,1,0,77405,1
393,Demidov,556,Spain,Male,38,8,0,2,0,0,417,1
394,Celis,594,Spain,Female,24,0,97378,1,1,1,71405,0
395,Cheng,645,Germany,Female,37,2,136925,2,0,1,153400,0
396,Knight,557,France,Male,33,3,54503,1,1,1,371,0
397,Morin,547,Germany,Male,32,8,155726,1,1,0,67789,0
398,Mills,701,France,Female,39,9,0,2,0,1,145894,0
399,Outhwaite,616,France,Female,66,1,135842,1,1,0,183840,1
400,Tung,605,France,Male,52,1,63349,1,1,0,108887,0
401,Pai,593,Germany,Female,38,4,129499,1,1,1,154071,0
402,Carpenter,751,Spain,Male,52,8,0,2,0,1,179291,0
403,Fennell,443,Spain,Male,36,6,70438,2,0,1,56937,0
404,Fontaine,685,France,Male,23,8,0,2,1,1,112239,0
405,Pratt,718,France,Male,36,9,0,1,1,0,45909,0
406,Mitchell,538,Spain,Female,49,9,141434,1,0,0,173779,1
407,Franklin,611,Spain,Female,37,4,0,2,1,0,125696,0
408,K'ung,668,Germany,Male,37,10,152958,2,1,1,159585,0
409,Ko,537,France,Male,41,3,138306,1,1,0,106761,0
410,McKenzie,709,Spain,Male,23,10,0,2,0,0,129590,0
411,Pino,850,France,Male,38,1,0,2,1,1,80006,0
412,Fisk,745,Spain,Female,31,3,124328,1,1,1,140451,0
414,Moseley,795,Spain,Male,35,8,0,2,1,0,167155,0
415,Hsiung,626,Spain,Male,26,8,0,2,0,0,191420,0
416,Heath,487,Germany,Female,61,5,110368,1,0,0,11384,1
417,Dellucci,556,France,Female,39,9,89588,1,1,1,94898,0
418,Li,643,France,Female,46,6,0,2,0,0,106781,0
419,De Salis,605,France,Female,28,6,0,2,0,0,159508,0
420,T'ang,756,Germany,Female,60,3,115924,1,1,0,93524,1
421,Richardson,586,France,Female,38,2,0,2,1,0,87168,0
422,Fitch,535,Germany,Male,40,7,111756,1,1,0,8128,1
423,Stevenson,678,France,Female,35,4,0,1,1,0,125518,0
424,Estes,596,France,Male,39,9,0,1,1,0,48963,0
425,Lattimore,648,France,Male,26,9,162923,1,1,0,98368,0
426,Chung,492,Germany,Male,39,10,124576,2,1,0,148584,0
427,Utz,702,France,Male,45,0,80793,1,1,1,27474,0
428,Wei,486,Germany,Female,40,9,71340,1,1,0,76192,0
429,Boyle,568,Germany,Male,40,1,99282,1,0,0,134600,1
430,Nwachinemelu,619,Germany,Male,57,3,137946,1,1,1,72467,1
431,Kuznetsova,724,Germany,Male,41,2,127892,2,0,1,199645,0
432,Pisani,548,Germany,Female,33,0,101084,1,1,0,42749,0
433,Manna,545,Germany,Female,37,8,114754,1,1,0,136050,1
